"ORGANIZATION NAME","ITEM NUMBER","ITEM DESCRIPTION",UOM,"ON HAND",
"086 Org FF.Suối Ngô - ANOVA FARM (Cost Org)",233,"Nova Vita Plus 1Kgx20",Gói,1,
"086 Org FF.Suối Ngô - ANOVA FARM (Cost Org)",564,"Nova Amdecol 100mlx30",Chai,71,
"086 Org FF.Suối Ngô - ANOVA FARM (Cost Org)",652,"Nova Linco Spectin 100mlx30",Chai,51,
"086 Org FF.Suối Ngô - ANOVA FARM (Cost Org)",590,"Nova Bromhexine Plus 100mlx30",Chai,9,
"086 Org FF.Suối Ngô - ANOVA FARM (Cost Org)",3798,"Nova A.C Xanh 100mlx30",Chai,183,
"086 Org FF.Suối Ngô - ANOVA FARM (Cost Org)",8968,"Formal 30 lít/can",Lít,150,
"086 Org FF.Suối Ngô - ANOVA FARM (Cost Org)",9210,"Bộ SG.Cept 500ml",Bộ,209,
"086 Org FF.Suối Ngô - ANOVA FARM (Cost Org)",9949,"Iodine 10% AP 20lit/can",Can,1,
"086 Org FF.Suối Ngô - ANOVA FARM (Cost Org)",10689,"Nova Enrofloxacin 50% (WSP) 1Kgx20S",Gói,56,
"086 Org FF.Suối Ngô - ANOVA FARM (Cost Org)",11976,"Nova Flordox 10Kg Bag",Bao,13,
"086 Org FF.Suối Ngô - ANOVA FARM (Cost Org)",13277,"AFA Violet spray 100ml/chai",Chai,28,
"086 Org FF.Suối Ngô - ANOVA FARM (Cost Org)",13282,"Bio-Linco-S 100ml/chai",Chai,47,
"086 Org FF.Suối Ngô - ANOVA FARM (Cost Org)",13285,"Bio-Anazin C 100ml/chai",Chai,98,
"086 Org FF.Suối Ngô - ANOVA FARM (Cost Org)",13714,"Bio-Vitamin K 100ml/chai",Chai,24,
"086 Org FF.Suối Ngô - ANOVA FARM (Cost Org)",13715,"Bio-Glucose 5% 500ml/chai",Chai,37,
"086 Org FF.Suối Ngô - ANOVA FARM (Cost Org)",13827,"Bio-Tiamulin 100ml/chai",Chai,28,
"086 Org FF.Suối Ngô - ANOVA FARM (Cost Org)",13961,"Dầu DO 0.05S - 200lít/phuy",Lít,500,
"086 Org FF.Suối Ngô - ANOVA FARM (Cost Org)",13964,"Ingelvac PRRS MLV + Diluent - 50 ds 50 liều / lọ",Bộ,35,
"086 Org FF.Suối Ngô - ANOVA FARM (Cost Org)",14102,"Vitamin AD3E 100ml/chai",Chai,196,
"086 Org FF.Suối Ngô - ANOVA FARM (Cost Org)",14476,"Nova Gentylo 100ml/chai",Chai,193,
"086 Org FF.Suối Ngô - ANOVA FARM (Cost Org)",14852,"AFA Nova Mectin 1% 20ml/chai",Lọ,100,
"086 Org FF.Suối Ngô - ANOVA FARM (Cost Org)",15073,"Bio-Dexa 100ml/chai",Chai,260,
"086 Org FF.Suối Ngô - ANOVA FARM (Cost Org)",15087,"Bio-Amox LA 100ml/chai",Chai,2,
"086 Org FF.Suối Ngô - ANOVA FARM (Cost Org)",15562,"Nova Doxine 500 1Kgx20S",Gói,12,
"086 Org FF.Suối Ngô - ANOVA FARM (Cost Org)",15761,"Bio-Bromhexine 100ml/chai",Chai,25,
"086 Org FF.Suối Ngô - ANOVA FARM (Cost Org)",15860,"HC Vac 50ds (dạng bánh) + nước pha (100ml/lọ)+50liều/chai + nước pha++",Bộ,212,
"086 Org FF.Suối Ngô - ANOVA FARM (Cost Org)",16719,"Bio-Lactated Ringer's 500ml/chai",Chai,60,
"086 Org FF.Suối Ngô - ANOVA FARM (Cost Org)",16722,"TH4 200lít/phuy",Lít,600,
"086 Org FF.Suối Ngô - ANOVA FARM (Cost Org)",20016,"AFA-Nova Amox LA 100ml/chai",Chai,86,
"086 Org FF.Suối Ngô - ANOVA FARM (Cost Org)",20091,"AFA-Nova Enrocin 10% 100ml/chai",Chai,96,
"086 Org FF.Suối Ngô - ANOVA FARM (Cost Org)",22033,"Bio-Enro 50 WSP (1kg/gói)",Kg,196,
"086 Org FF.Suối Ngô - ANOVA FARM (Cost Org)",22408,"Bio-Peni Strepto 100ml",Chai,125,
"086 Org FF.Suối Ngô - ANOVA FARM (Cost Org)",22686,"Porcilis Begonia 50ds (dạng bánh) + Unisolve nước pha (100ml/chai)",Chai,21,
"086 Org FF.Suối Ngô - ANOVA FARM (Cost Org)",22930,"ANSARON 80WP/1 KG",Gói,10,
"086 Org FF.Suối Ngô - ANOVA FARM (Cost Org)",23726,"Aftogen Oleo - Vaccin FMD 60ds (120ml/chai)",Chai,179,
"086 Org FF.Suối Ngô - ANOVA FARM (Cost Org)",26189,"Smecta 3g/gói",Gói,1068,
"086 Org FF.Suối Ngô - ANOVA FARM (Cost Org)",28308,"Sút (NaOH) 25kg/bao",Kg,175,
"086 Org FF.Suối Ngô - ANOVA FARM (Cost Org)",28415,"Bio Amoxycol Inj 100ml/chai",Chai,113,
"086 Org FF.Suối Ngô - ANOVA FARM (Cost Org)",29829,"Vôi 25kg/bao",Kg,210,
"086 Org FF.Suối Ngô - ANOVA FARM (Cost Org)",30604,"Aftogen Oleo - Vaccin FMD 25ds (50ml/chai)",Chai,81,
"086 Org FF.Suối Ngô - ANOVA FARM (Cost Org)",30948,"Bio-Amoxcillin 50% 10kg/bao",Kg,78,
"086 Org FF.Suối Ngô - ANOVA FARM (Cost Org)",31159,PRELAC#25kg/bao+NUTRIFEED+Netherlands+NONETAX,Kg,90,
"086 Org FF.Suối Ngô - ANOVA FARM (Cost Org)",31368,"Bio-Electrolytes 10kg/bao",Kg,128,
"086 Org FF.Suối Ngô - ANOVA FARM (Cost Org)",31579,"AFA-Baby B - Hàng xá",Kg,3439,
"086 Org FF.Suối Ngô - ANOVA FARM (Cost Org)",31580,"AFA-Baby C - Hàng xá",Kg,503,
"086 Org FF.Suối Ngô - ANOVA FARM (Cost Org)",31581,"AFA-A16 - Hàng xá",Kg,12280,
"086 Org FF.Suối Ngô - ANOVA FARM (Cost Org)",31755,"Bio-Fenbendazol 10kg/bao",Kg,160,
"086 Org FF.Suối Ngô - ANOVA FARM (Cost Org)",32448,"Deterstorm 5kg/bình",Kg,35,
"086 Org FF.Suối Ngô - ANOVA FARM (Cost Org)",34489,"Tiamulin WSP AP 10kg/Bao # (farm)",Bao,21,
"086 Org FF.Suối Ngô - ANOVA FARM (Cost Org)",35441,"Racumin - 1kg/gói",Kg,8,
"086 Org FF.Suối Ngô - ANOVA FARM (Cost Org)",35442,"Transamin 250mg Inj 1x10 ống",Ống,80,
"086 Org FF.Suối Ngô - ANOVA FARM (Cost Org)",35444,"Thuốc tím KMNO4 50kg/thùng",Kg,399,
"086 Org FF.Suối Ngô - ANOVA FARM (Cost Org)",36172,"Farmxide New 200 lit/phuy",Phuy,8,
"086 Org FF.Suối Ngô - ANOVA FARM (Cost Org)",37890,"Xà bông rửa tay 20lit/can",Can,1,
"086 Org FF.Suối Ngô - ANOVA FARM (Cost Org)",38771,"Nova Electrolytes 10Kg Bag",Bao,4,
"086 Org FF.Suối Ngô - ANOVA FARM (Cost Org)",41320,"Ingelvac-H 50ds (100ml/chai)",Chai,289,
"086 Org FF.Suối Ngô - ANOVA FARM (Cost Org)",41922,"FLUXIN 50 100ml/chai",Chai,30,
"086 Org FF.Suối Ngô - ANOVA FARM (Cost Org)",43360,"Intra Hydrocare 5 lít/chai",Lít,25,
"086 Org FF.Suối Ngô - ANOVA FARM (Cost Org)",44593,"Aqua ORG",Kg,180,
"086 Org FF.Suối Ngô - ANOVA FARM (Cost Org)",44998,"AFA-Baby C Super - hàng xá",Kg,17045,
"086 Org FF.Suối Ngô - ANOVA FARM (Cost Org)",45096,"Clamoxyl LA 250ml/chai",Chai,47,
"086 Org FF.Suối Ngô - ANOVA FARM (Cost Org)",48599,"Bao Tay Cao Su Size Xl- Cầu Vòng -HAT",Đôi,1,
"086 Org FF.Suối Ngô - ANOVA FARM (Cost Org)",48617,"Bịch Nilong Dẻo (Pe) 20X30 (1 Kg ) -HAT",Kg,3,
"086 Org FF.Suối Ngô - ANOVA FARM (Cost Org)",48699,"Dây Ống Nước Dẻo 25- Thanh Huyền - 50M/ 14Kg -HAT",Cuộn,1,
"086 Org FF.Suối Ngô - ANOVA FARM (Cost Org)",48702,"Dây Xịt Sát Trùng 50M- Cá Sấu/ Made In Korea -HAT",Cuộn,1,
"086 Org FF.Suối Ngô - ANOVA FARM (Cost Org)",48750,"Khăn 40*60 - Thank Thank -HAT",Cái,6,
"086 Org FF.Suối Ngô - ANOVA FARM (Cost Org)",48761,"Ky Hót Rác Inox ( Lớn ) Cán Dài -HAT",Cái,3,
"086 Org FF.Suối Ngô - ANOVA FARM (Cost Org)",48803,"Nồi Cơm Điện Ksh D1010-10L Sharp -HAT",Cái,1,
"086 Org FF.Suối Ngô - ANOVA FARM (Cost Org)",48822,"Ổ Khóa Treo Đồng 5 Phân-Việt Tiệp -HAT",Cái,2,
"086 Org FF.Suối Ngô - ANOVA FARM (Cost Org)",48869,"Tắc Kê Nhựa  Số 4 ( 100Con/ Bịch) -HAT",Bịch,4,
"086 Org FF.Suối Ngô - ANOVA FARM (Cost Org)",48896,"Ủng Xanh Rêu Thùy Dương Size 11, 11.5 -HAT",Đôi,10,
"086 Org FF.Suối Ngô - ANOVA FARM (Cost Org)",49249,"Thau Nhựa Dk 57 Nguyên Dương -HAT",Cái,2,
"086 Org FF.Suối Ngô - ANOVA FARM (Cost Org)",49368,"Thảm Đinh Lau Chân 40X60- Thảm Đinh -HAT",Cái,1,
"086 Org FF.Suối Ngô - ANOVA FARM (Cost Org)",49400,"Sơn Xịt Đỏ A211- Win -HAT",Chai,106,
"086 Org FF.Suối Ngô - ANOVA FARM (Cost Org)",49401,"Sơn Xịt Xanh A242  - Win -HAT",Chai,78,
"086 Org FF.Suối Ngô - ANOVA FARM (Cost Org)",49594,"Ống chích tự động HSW Eco-matic 2ml -CATBD",Cái,5,
"086 Org FF.Suối Ngô - ANOVA FARM (Cost Org)",49644,"Quần đồng phục kaki xanh đen -Quang Tuấn",Cái,60,
"086 Org FF.Suối Ngô - ANOVA FARM (Cost Org)",49682,Bio-Haquinol,Kg,10,
"086 Org FF.Suối Ngô - ANOVA FARM (Cost Org)",50011,"AFA-Baby A (Lacta)- Hàng xá",Kg,4952,
"086 Org FF.Suối Ngô - ANOVA FARM (Cost Org)",50168,"Genta 20% (1kg/gói, trộn TA)",Kg,16,
"086 Org FF.Suối Ngô - ANOVA FARM (Cost Org)",50169,"Colistin 50% (10kg/bao, trộn TA)",Kg,26,
"086 Org FF.Suối Ngô - ANOVA FARM (Cost Org)",50197,"Bịch Siêu Thị 20X30 -HAT",Cuộn,2,
"086 Org FF.Suối Ngô - ANOVA FARM (Cost Org)",50299,"Quần áo BHLD - cho NV (xanh đen) -Quang Tuấn",Bộ,10,
"086 Org FF.Suối Ngô - ANOVA FARM (Cost Org)",50300,"Quần áo bảo vệ -Quang Tuấn",Hộp,6,
"086 Org FF.Suối Ngô - ANOVA FARM (Cost Org)",50301,"Nón bảo vệ -Quang Tuấn",Cái,2,
"086 Org FF.Suối Ngô - ANOVA FARM (Cost Org)",50704,"T 34-Bình Minh  -HAT",Cái,10,
"086 Org FF.Suối Ngô - ANOVA FARM (Cost Org)",50732,"Kim inox số 12x20 (hộp xanh dương) -CATBD",Vĩ,150,
"086 Org FF.Suối Ngô - ANOVA FARM (Cost Org)",51080,"Nova Tydoxin Max 10Kg Bag",Bao,18,
"086 Org FF.Suối Ngô - ANOVA FARM (Cost Org)",51291,"Xô Thùng Sơn  18 Lít -Không Nắp -HAT",Cái,2,
"086 Org FF.Suối Ngô - ANOVA FARM (Cost Org)",51454,"Test kiểm tra nhanh dịch tả lợn châu Phi - Rocbiotech Inc – Mỹ- 20 cái/Hộp - FA",Cái,43,
"086 Org FF.Suối Ngô - ANOVA FARM (Cost Org)",52275,"Heo đực # FP Lộc Hòa +W40/2022",Con,13,
"086 Org FF.Suối Ngô - ANOVA FARM (Cost Org)",52436,"Heo đực # FP Lộc Hòa +W41/2022",Con,14,
"086 Org FF.Suối Ngô - ANOVA FARM (Cost Org)",52557,"Heo đực # FP Lộc Hòa +W42/2022",Con,3,
"086 Org FF.Suối Ngô - ANOVA FARM (Cost Org)",52917,"Heo đực # FP Lộc Hòa +W46/2022",Con,10,
"086 Org FF.Suối Ngô - ANOVA FARM (Cost Org)",53054,"Heo đực # FP Lộc Hòa +W47/2022",Con,1,
"086 Org FF.Suối Ngô - ANOVA FARM (Cost Org)",53056,"Heo cái # FP Lộc Hòa +W47/2022 (2 máu)",Con,285,
